;Ano;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
0;2020;2;0;8.50;6.50;15.00;91.00;11.00;23.00;71.00;5.50;14.00;41.00;8.00;7.50;51.00;15.00;15.00;26.00
1;2020;3;1;10.00;7.00;15.00;91.00;14.00;26.00;101.00;5.50;17.00;56.00;7.00;7.50;56.00;11.00;13.00;26.00
2;2020;2;0;15.00;8.50;15.00;56.00;19.00;41.00;101.00;7.00;18.00;51.00;7.50;6.50;46.00;10.00;10.00;18.00
3;2020;2;0;11.00;7.50;15.00;91.00;15.00;36.00;126.00;5.50;17.00;61.00;6.50;7.00;61.00;10.00;12.00;23.00
4;2020;2;1;15.00;7.00;11.00;41.00;14.00;23.00;56.00;8.50;11.00;26.00;9.50;7.00;26.00;15.00;12.00;17.00
5;2020;2;0;7.50;6.50;18.00;101.00;11.00;26.00;91.00;5.00;15.00;56.00;7.00;7.50;76.00;13.00;15.00;31.00
6;2020;0;0;10.00;8.00;20.00;126.00;17.00;41.00;176.00;5.00;21.00;91.00;6.00;7.50;91.00;9.50;12.00;26.00
7;2020;1;0;12.00;7.00;13.00;67.00;14.00;26.00;91.00;6.50;14.00;41.00;8.00;7.00;41.00;13.00;12.00;20.00
8;2020;2;1;12.00;7.00;14.00;61.00;6.50;7.50;12.00;15.00;7.00;11.00;26.00;15.00;20.00;81.00;41.00;41.00
9;2020;3;2;10.00;6.50;14.00;67.00;12.00;23.00;67.00;6.50;13.00;36.00;8.50;7.00;41.00;14.00;13.00;21.00
10;2020;1;0;15.00;9.50;18.00;76.00;6.50;6.50;9.00;21.00;7.00;9.50;51.00;21.00;19.00;126.00;71.00;61.00
