;Ano;FT_Odds_H;FT_Odds_A;FT_Goals_H;FT_Goals_A;Odds_0x0;Odds_1x1;Odds_2x2;Odds_3x3;Odds_0x1;Odds_0x2;Odds_0x3;Odds_1x0;Odds_1x2;Odds_1x3;Odds_2x0;Odds_2x1;Odds_2x3;Odds_3x0;Odds_3x1;Odds_3x2
0;2022;1.22;3.80;1;1;13.00;7.50;13.00;51.00;15.00;26.00;81.00;7.00;15.00;41.00;8.50;6.50;41.00;12.00;11.00;19.00
1;2022;1.50;2.40;3;0;8.00;6.00;14.00;81.00;9.00;17.00;46.00;6.50;11.00;31.00;9.50;8.00;36.00;20.00;18.00;26.00
2;2022;1.25;3.60;4;1;11.00;7.50;15.00;76.00;14.00;26.00;91.00;6.00;15.00;51.00;7.50;7.00;51.00;12.00;12.00;21.00
3;2022;2.10;1.65;0;1;7.00;5.50;15.00;91.00;6.50;11.00;26.00;7.50;9.50;23.00;13.00;10.00;36.00;36.00;26.00;36.00
4;2022;1.36;2.88;2;1;8.00;6.00;15.00;91.00;10.00;20.00;61.00;6.00;13.00;41.00;8.50;7.50;46.00;15.00;17.00;31.00
5;2022;3.60;1.25;0;4;10.00;6.50;14.00;67.00;6.00;7.50;14.00;12.00;7.50;13.00;23.00;14.00;21.00;67.00;41.00;46.00
6;2022;1.75;1.95;3;0;12.00;6.50;10.00;41.00;10.00;15.00;26.00;9.50;9.00;19.00;13.00;9.00;21.00;26.00;17.00;21.00
7;2022;1.73;2.00;0;1;12.00;6.50;10.00;36.00;10.00;15.00;31.00;9.50;9.50;19.00;12.00;8.50;21.00;23.00;15.00;20.00
8;2022;2.25;1.57;0;2;9.50;6.00;12.00;51.00;8.00;11.00;23.00;9.50;8.00;17.00;15.00;9.50;23.00;34.00;23.00;31.00
9;2022;1.01;11.00;1;2;26.00;13.00;21.00;91.00;46.00;101.00;201.00;8.00;36.00;151.00;6.00;8.00;101.00;7.00;9.00;21.00
10;2022;1.08;6.50;3;0;10.00;8.00;21.00;126.00;15.00;41.00;176.00;5.00;23.00;91.00;5.50;7.50;101.00;9.50;12.00;26.00
11;2022;1.50;2.40;3;0;8.00;6.00;14.00;76.00;9.00;15.00;46.00;6.50;11.00;31.00;10.00;8.00;36.00;21.00;19.00;26.00
12;2022;1.50;2.40;1;1;9.50;6.00;13.00;61.00;10.00;15.00;36.00;7.50;10.00;26.00;10.00;8.00;31.00;21.00;15.00;26.00
13;2022;4.00;1.20;2;2;10.00;7.00;15.00;91.00;5.50;7.00;12.00;12.00;7.00;13.00;31.00;15.00;26.00;91.00;56.00;61.00
14;2022;1.17;4.50;2;1;17.00;8.50;12.00;41.00;19.00;31.00;91.00;8.00;15.00;41.00;8.50;7.00;36.00;11.00;10.00;15.00
15;2022;1.29;3.30;6;0;10.00;6.50;14.00;67.00;13.00;26.00;71.00;6.50;14.00;41.00;8.00;7.00;41.00;13.00;13.00;21.00
16;2022;2.88;1.36;2;0;8.00;6.00;15.00;81.00;6.00;8.50;17.00;10.00;8.00;15.00;20.00;13.00;26.00;61.00;36.00;46.00
17;2022;1.91;1.80;2;2;6.50;5.50;15.00;101.00;6.50;12.00;26.00;7.00;10.00;23.00;13.00;10.00;41.00;34.00;26.00;41.00
18;2022;1.07;7.00;3;0;15.00;9.50;17.00;76.00;21.00;46.00;176.00;6.50;23.00;71.00;6.50;7.00;61.00;9.00;10.00;19.00
19;2022;1.29;3.30;0;1;9.00;6.50;14.00;76.00;11.00;21.00;67.00;6.00;13.00;41.00;8.00;7.50;41.00;15.00;15.00;26.00
20;2022;1.14;4.80;0;2;9.00;7.00;18.00;101.00;14.00;31.00;101.00;5.00;18.00;61.00;6.50;7.00;61.00;11.00;13.00;26.00
21;2022;2.75;1.40;1;1;8.50;6.00;14.00;81.00;6.50;9.00;19.00;10.00;7.50;15.00;19.00;12.00;26.00;51.00;34.00;36.00
22;2022;2.55;1.45;1;0;8.50;6.00;14.00;71.00;6.50;9.50;21.00;9.50;8.00;17.00;17.00;11.00;26.00;46.00;31.00;41.00
23;2022;1.22;3.80;1;1;11.00;7.00;14.00;67.00;13.00;26.00;76.00;6.50;14.00;41.00;8.00;7.00;41.00;13.00;12.00;21.00
24;2022;1.33;3.00;2;0;9.00;6.00;14.00;71.00;11.00;21.00;61.00;6.00;12.00;36.00;8.50;7.50;41.00;15.00;15.00;23.00
25;2022;1.29;3.30;1;0;7.50;6.00;18.00;101.00;10.00;23.00;91.00;5.00;15.00;51.00;7.50;8.00;61.00;15.00;15.00;31.00
26;2022;1.25;3.60;1;0;9.50;6.50;15.00;76.00;12.00;23.00;81.00;6.00;14.00;46.00;8.00;7.00;46.00;14.00;14.00;23.00
27;2022;1.40;2.75;1;4;10.00;6.50;13.00;61.00;11.00;20.00;51.00;7.00;11.00;31.00;9.50;7.50;36.00;17.00;14.00;21.00
28;2022;1.45;2.55;3;1;10.00;6.00;12.00;56.00;11.00;19.00;51.00;7.00;11.00;26.00;9.50;8.00;34.00;18.00;15.00;23.00
29;2022;1.07;6.50;1;1;10.00;8.50;23.00;126.00;17.00;51.00;201.00;5.00;23.00;91.00;5.50;7.50;101.00;9.00;12.00;26.00
30;2022;1.20;4.00;1;2;8.50;7.00;17.00;101.00;12.00;31.00;101.00;5.00;18.00;61.00;7.00;7.50;71.00;12.00;14.00;26.00
31;2022;1.11;5.50;4;0;14.00;8.00;15.00;67.00;18.00;36.00;126.00;6.50;19.00;61.00;7.00;7.00;51.00;10.00;10.00;19.00
32;2022;1.36;2.88;2;3;8.50;6.00;14.00;81.00;10.00;20.00;56.00;6.00;13.00;36.00;8.50;7.50;41.00;17.00;15.00;26.00
33;2022;2.25;1.57;1;2;8.50;6.00;13.00;76.00;7.00;11.00;23.00;8.50;8.50;19.00;15.00;10.00;26.00;36.00;26.00;34.00
34;2022;1.75;1.95;0;1;8.00;6.00;14.00;76.00;8.00;14.00;34.00;7.00;9.50;26.00;11.00;9.00;31.00;26.00;21.00;31.00
35;2022;1.65;2.10;1;0;8.50;5.50;13.00;67.00;8.50;14.00;34.00;7.50;10.00;23.00;12.00;9.00;31.00;26.00;20.00;26.00
36;2022;1.17;4.50;3;2;10.00;7.50;17.00;81.00;15.00;36.00;101.00;5.50;17.00;61.00;6.50;7.00;61.00;11.00;12.00;23.00
37;2022;1.73;2.00;2;2;6.00;5.50;17.00;101.00;7.00;13.00;36.00;6.00;10.00;26.00;11.00;9.50;46.00;26.00;26.00;41.00
38;2022;1.29;3.30;0;2;7.50;6.00;15.00;91.00;10.00;21.00;76.00;5.50;14.00;41.00;8.00;8.00;51.00;15.00;15.00;31.00
39;2022;2.25;1.57;0;1;8.00;6.00;13.00;76.00;7.00;10.00;23.00;8.50;8.50;19.00;14.00;10.00;26.00;36.00;26.00;36.00
40;2022;1.85;1.85;0;0;6.50;5.50;15.00;101.00;6.50;12.00;31.00;6.50;10.00;26.00;12.00;10.00;41.00;34.00;26.00;41.00
41;2022;1.30;3.20;1;0;8.00;6.00;15.00;91.00;10.00;21.00;71.00;5.50;13.00;41.00;8.00;7.50;51.00;15.00;15.00;26.00
42;2022;1.01;11.00;1;0;20.00;14.00;26.00;176.00;36.00;126.00;201.00;6.50;56.00;201.00;5.00;8.50;176.00;6.00;10.00;26.00
43;2022;1.11;5.50;3;1;12.00;8.00;17.00;91.00;17.00;36.00;126.00;6.00;19.00;67.00;6.50;7.00;61.00;10.00;11.00;21.00
44;2022;1.20;4.00;2;1;10.00;7.00;15.00;76.00;14.00;26.00;91.00;6.00;15.00;46.00;7.50;7.00;46.00;12.00;12.00;23.00
45;2022;1.50;2.40;0;2;6.50;5.50;15.00;101.00;8.00;15.00;46.00;6.00;11.00;36.00;10.00;9.00;51.00;23.00;21.00;41.00
46;2022;2.00;1.73;2;2;8.50;6.00;13.00;71.00;7.00;11.00;23.00;8.50;8.50;20.00;14.00;10.00;26.00;34.00;26.00;31.00
47;2022;1.17;4.50;2;1;9.00;6.50;17.00;101.00;13.00;31.00;101.00;5.50;17.00;61.00;6.50;7.50;67.00;11.00;14.00;26.00
48;2022;1.60;2.20;2;1;7.50;5.50;14.00;76.00;8.00;14.00;36.00;6.50;10.00;26.00;11.00;9.00;36.00;26.00;21.00;31.00
49;2022;4.80;1.14;1;3;9.00;7.00;19.00;101.00;5.00;6.50;11.00;13.00;7.00;13.00;31.00;18.00;26.00;126.00;67.00;67.00
50;2022;1.07;7.00;3;2;13.00;8.50;19.00;91.00;19.00;46.00;176.00;5.50;23.00;91.00;6.00;7.00;76.00;9.00;10.00;23.00
51;2022;1.73;2.00;0;0;6.50;5.50;15.00;126.00;7.00;13.00;36.00;6.00;11.00;31.00;11.00;10.00;46.00;26.00;26.00;46.00
52;2022;1.57;2.25;1;0;7.50;6.00;14.00;81.00;8.50;15.00;41.00;6.50;11.00;26.00;10.00;8.50;41.00;21.00;20.00;34.00
